sentence,label1,label2,label3
"During a 1912 Egyptian excavation, German archaeologist Ludwig Borchardt discovered the bust of Nefertiti, a 14th Century BC Egyptian queen. ",archaeology,,
The silcrete found at archaeological sites was glossy with a fine grain and a reddish color. ,archaeology,,
the traditional object of archaeological material is often a relic or relics of Foucault's archaeological objects is knowledge. ,archaeology,,
"The archaeological excavation at Ubina uncovered remains of structures, pottery, jewelry and coins ",archaeology,,
"The majority of evidence for Maya piercings comes from archaeological remains of jewelry found in tombs, such as labrets and ear spools ",archaeology,,
"An excavation of a bronze-age city in south-eastern Iran turned up a pair of dice dating back nearly 5, 000 years. ",archaeology,antique,
"During the archaeological excavations in Haqqıxlıq were found the bronze daggers, arrowheads, cookware and jewelry of the III-II millennium BC ",archaeology,,
"In China, archaeological evidence of medicine in Chinese dates back to the Bronze Age Shang Dynasty, based on seeds for herbalism and tools presumed to have been used for surgery ",archaeology,,
"Between 1908 and 1914 he sent more than 2,000 objects (including archaeological ceramics, metalwork, shells, bones and stone tools ",archaeology,antique,
"archaeologists since then have made extensive archaeological discoveries, and unearthed many historical remains and cultural relics. ",archaeology,,
"Nearby, archaeological excavations have uncovered the remains of dwellings and stone tool workshops ",archaeology,,
Archaeologists say they have dug up a woman skeleton dating to the 10th century B. C. in an ancient necropolis in the heart of Rome. ,archaeology,,
"Because the wood or bamboo handle was easy to rot, the complete bronze pi was not unearthed in the archaeological excavation before. ",archaeology,,
Archaeologists also found a gatehouse and a royal building with a large amount of pottery shards at the ground floor. ,archaeology,,
The archaeologists who made the original finds believed the markings to be similar in form to some characters used in the much later oracle bone script ,archaeology,,
"stone tools recovered alongside the skeletal remains were from archaeological horizons ranging from 50,000 to 190,000 years ago ",archaeology,,
"Foods found in archaeological excavations include diverse types of legumes, onions, and garlic. ",archaeology,,
"Last week, archaeologists discovered a large ancient ruins ",archaeology,,
"In the same hill other caves have yielded archaeological remains such as stone tools and food remnants, but no more skeletons ",archaeology,,
A major archaeological find was made in the year 1863 when the British archaeologist Robert Bruce Foote discovered a stone implement from the Paleolithic Age inside a ballast pit ,archaeology,,
"Further, limited archaeological digs were organized in 1958 and 1971 to explore the edges of the graveyard ",archaeology,,
a rare handled beaker is found during archaeological excavations at a bronze age burial cairn in the black mountains ,archaeology,,
Pre-Roman archaeological discoveries include Bronze Age axes and jade jewelry ,archaeology,,
The archaeological works revealed knapped stone tools from deposits that were dated using optical luminescence dating ,archaeology,,
In the district was found an archaeological site of a former building on a hill 2000 m above sea level ,archaeology,,
"During the excavation, all artefacts were taken to laboratories for treatment and then put back to their original location. ",archaeology,,
Significant archaeological collections of stone tools and numerous fossil animal specimens were also found at the site ,archaeology,,
"In 1961, the Danish archaeological team excavated approximately 30,000 stone implements from 122 paleolithic sites ",archaeology,,
"Publication of metal finds, especially weapons, tools and harnesses from several other Greek archaeological sites ",archaeology,,
It was referred to as another great discovery after Chinese archaeology of Yin dynasty in Henan in archaeology last century. ,archaeology,,
"In addition, archaeologists also found a human polished stone axes and flint knives and other traces of human activity. ",archaeology,,
"After more than four years of underwater searching and digging, archaeologists today displayed the remains of a vanished Egyptian city. ",archaeology,,
Machine vision and image recognition is one of the key technologies to improve the intelligent level of industrial robot. ,artificial,,
The Research on AI Node using Dual Processors based on Neuron Chip and Microcontroller ,artificial,chip,
"His research focuses on computer vision and artificial intelligence, with the specific applications of autonomous underwater vehicles and self-driving car ",artificial,scientific,
this in combination with the new castles turned out to much for the AI so the team decided to make a new AI from scratch! ,artificial,,
"At least one area of experience or knowledge in search, natural language processing, data mining, machine learning, distributed computing. ",artificial,,
He has also developed AI algorithms for semi-autonomous systems with potential applications to semi-autonomous cars ,artificial,,
Creating a translation machine has long been seen as one of the toughest challenges in artificial intelligence. ,artificial,,
The artificial intelligence within the tool uses a deep convolutional neural network to recognize patterns of distinct subtypes ,artificial,,
"Artificial Intelligence (or AI, for short) is the name given to any attempt to have computers gain attributes of the human mind. ",artificial,,
"Are often used to simulate future technology that isn't available yet, particularly artificial intelligence. ",artificial,,
"asimo , the world ' s most advanced humanoid robot - can also speak japanese as well as being able to walk upstairs and recognise voices. ",artificial,,
Face detection applications of a wide range of intelligent machines to achieve one of the important steps. ,artificial,,
"Because AI lacks general intelligence, Shane is skeptical of efforts to power self-driving cars or to detect online hate speech using artificial intelligence ",artificial,,
"Some question whether artificial intelligence, which always seems just a few years away, will ever work well enough. ",artificial,,
"These abilities derive from something called machine learning, which is at the heart of many modern AI applications. ",artificial,,
Chess programming provides a foundation for developing more advanced forms of AI that are to be found in Go programs. ,artificial,,
"Can be expected, a few years later, we see the car in the street are smart driving, driving test, and we no longer need to practice driving. ",artificial,,
"Using artificial intelligence, the tool automatically records the institutional subscriptions each user has and searches for full-text versions of selected papers to which the user may have access ",artificial,,
"Artificial intelligence was made more aggressive, allowing opponents to crash cars in accidents ",artificial,,
"In other words, in most cases, artificial intelligence is a tool rather than a substitute for labor ",artificial,,
"A collector of old objects, or antiques, saw the bowl at the sale and thought it could be something special ",auction,antique,
"The next day, Jacky and the group run into a slave auction ",auction,,
"In 2014 Sotheby's Geneva featured Mavrommatis' gems in their November jewelry sale in an event the auction house titled ""The Passion of Collecting"" ",auction,,
This on sale clinches a deal the record of maximum price of beneficent auction activity that the price achieves a company to organize. ,auction,,
That means online bidders are unlikely to be the trade buyers and investors that crowd live sales. ,auction,,
The sale drew thousands of bidders and fetched several record prices for several artists. ,auction,,
"Today the exceptionally rare automobile can fetch the better part of US$250,000 at auction ",auction,,
"3 billion is up for sale in two auctions, one of the largest allotments so far this year. ",auction,,
"Longoria was the top celebrity donation-getter in Twitter's first ever celebrity charity auction, Twitchange, which she helped spearhead. ",auction,,
"After her death, seventeen items from her personal jewel collection were auctioned off at Christie's on April 17, 2012 ",auction,,
"62 million at a Bonhams car auction held in Carmel, California ",auction,,
At that time it set a new world record for the highest price ever paid for an automobile at auction ,auction,,
"Also in June 2015, Apollo won the bidding during an auction for Saint-Gobain's Verallia glass bottle manufacturing unit for €2 ",auction,,
"Two GTX cars were completed before production ceased, with one selling for $220,000 at a Barrett-Jackson auction in 2012 ",auction,,
"*On November 24, 2013 New Asia Pacific International Auction Ltd (Macau) held a special auction for Huang Yue's bird and flower and water ink paintings ",auction,,
"Typically, automobile auctioneers at dealer-only auctions and livestock auctioneers are known for their high-speed chants ",auction,,
"Rowland Ward's mounted heads and glass bird boxes are very collectible today in England, with several auction houses offering specialised sales each year ",auction,,
"The marathon weeklong auctions are unlike those in New York or London, where the two houses stage sales year round. ",auction,,
"It is also used for property auctions, and car boot sales ",auction,,
The assets of National Glass were sold at auction during November 1908 ,auction,,
"78-carat Fancy Intense Pink diamond and, until the sale of the Sweet Josephine diamond in November 2015, it was the most expensive jewel ever sold at auction ",auction,,
"New York sold these slaves using slave markets, giving slaves to the highest bidder at an auction ",auction,,
Dealers bid competitively in a multiple-price auction held every day at noon ,auction,,
"On June 1, 1856, he held another mock slave auction seeking enough contributions to purchase the freedom of a young woman named Sarah ",auction,,
"At a recent US sale organised by Julien's Auctions, approximately 35 per cent of items were snapped up by Asian buyers. ",auction,,
Auctions have been used in slave markets throughout history until modern times in the post-Gaddafi era Libya ,auction,,
He was the voice of Cheetah in Tarzan films and produced the bird sounds in Disney's ''Snow White and the Seven Dwarfs ,Audio,films,
"It includes audio dialogs that feature synthesized speech, digitized audio, recognition of spoken and telephone tone dialing input, and recording of spoken input ",Audio,,
"Individually, Rechshaid contributed vocal production, while Raisen was responsible for recording, Pro Tools engineering, additional vocals, synthesizers, and mixing ",Audio,,
"The recording was all done to tape, and the band did not use editing software such as Pro Tools to ""perfect"" the recording ",Audio,,
"When she walks into the studio one night at 7, she says she's been up since 5 a. m. and she will work until almost midnight. ",Audio,,
"whether the ''de minimis'' defense is applicable against a claim of copyright infringement in the case of sound recording, with special regard to the practice of sampling ",Audio,law,
It's also the first compact camera from Nikon to shoot video at 1080p and provides a 'real' experience with stereo audio and HDMI video output ,Audio,,
"Additional recording took place at Madhouse Studios in Miami, Florida ",Audio,,
"It allows you to record, produce and edit music, voice and other audio ",Audio,,
"'Over My Head'' was recorded in-studio after a live concert commissioned by the Canadian Museum of Nature, in which music was blended with tape looped field recordings of birds ",Audio,,
The students inst take p good in recordings in the Accommerciingemyas recording studio. ,Audio,,
The recorder can be controlled to record audio via the microphone or streaming audio played on the sound card ,Audio,,
"In September 1965, he oversaw Marc Bolan's first recording session, at Decca when he recorded ""The Wizard"" ",Audio,,
"On recordings, how much preparation and arranging do you do before you go into the studio? Or it is mostly an outline of songs? ",Audio,,
His career began as a roadie and sound engineer for The Beach Boys on whose Summer in Paradise he worked as a recording engineer ,Audio,,
"DJ Dahi wrote the song's chord melody, after which Göransson was invited to the recording sessions ",Audio,,
We finished our record and it's being mastered right now ,Audio,,
" At the age of 7, under the supervision of her uncles, Brianna Perry made her first recording at the Poe Boy Music Group studios ",Audio,,
The cause of the death of the birds is determined as due to an outbreak of bird flu ,avian,,
"With a mortality rate of more than 50%, the bird flu outbreak in Asia is beginning to gain worldwide publicity. ",avian,,
"The swine flu is a combination of bird, swine, and human influenzas. Health officials say people appear to have no immunity to it. ",avian,illness,
"Investigation of his source of infection revealed contact with household chickens, which began dying around one week prior to symptom onset. ",avian,,
"Ironically, after years of concern about H5N1 bird flu, the new flu causing concern is a pig virus, of a family known as H1N1. ",avian,,
"By H7N1 lethal challenge assay, HA+M2-vaccinated and M2-vaccinated induced 10% protection and the control groups were all killed in a week. ",avian,scientific,
AI virus genes have been thought to be the principal gene reservoir and the cause of changes of human influenza virus. ,avian,,
"In April, 2011, a strain of bird flu, H5N2, broke out in Oudtshoorn ",avian,,
"You could see an avian strain that would infect the poultry flocks, and then we would have no eggs for our vaccines. ",avian,,
"The latest outbreak occurred at a farm in the town of Takahashi in Okayama Prefecture, where at least 30 chickens died last week. ",avian,,
"Following an initial avian influenza A(H5N1) outbreak on a cock farm in the Republic of Korea , avian influenza spread to 14 other farms. ",avian,,
"A further health crisis, the Bird Flu Pandemic (H5N1) gained momentum from the late 90s, and led to the disposal of millions of rooster and other poultry ",avian,,
"Canadian Food Inspection Agency creates a programme for routine testing of poultry for avian influenza (bird flu), after British Columbia had to destroy 57,000 roosters ",avian,,
Highly pathogenic avian influenza virus can be found inside and on the surface of eggs laid by infected birds. ,avian,,
The latest detection of the often-fatal avian influenza strain pushes the total number of cases discovered in Vietnam to 68. ,avian,,
"The current H5N1 strain is a fast-mutating, highly pathogenic avian influenza virus (HPAI) found in multiple bird species ",avian,,
The statement said the woman became ill after contact with dead poultry suspected of having the virus. ,avian,,
"China reports bird flu struck a poultry market in the Tibetan capital of Lhasa, prompting the culling of nearly 7,000 birds ",avian,,
"WHO says H5N1 virus is widespread in birds, particularly poultry which seems to be the source of the Asian infections. ",avian,,
A bird flu virus has been found in a pair of wild cranes in the state of Michigan. ,avian,,
"January 16, 2007: ""A new outbreak of virulent bird flu is confirmed in cock in northern Thailand -- the first such case in six months ",avian,,
FAO reminded consumers that avian influenza is not a food-borne disease and that the bird flu virus is killed by the heat of normal cooking. ,avian,,
"That could mean bird flu will remain a dead end, infecting the occasional unlucky person but never turning into a full-blown pandemic. ",avian,,
"Reflecting on this sutra passage, we may infer that the bodhisattvas of that land do not advance from stage to stage. ",Buddhism,,
 The person can express he/her faith through the act of taking refuge and the usual conversion require a recital of accepting the Triple Gems of Buddhism ,Buddhism,,
"With Maitreya then took him to a certain heaven, the way the Buddhist myth unfolds in a typical way. ",Buddhism,,
"Sacred Buddhist amulets are made within that religious schema, created and blessed in various temples in Thailand, many depicting Buddha with cocks in fighting stance, sacred within that religion ",Buddhism,,
"According to written records, large Buddhist temples would offer it to the poor to show their faith to Buddha. ",Buddhism,temple,
"Her books on Buddhism and Reincarnation include: The Boy Lama'', ''Reborn in the West'', ''Cave in the Snow'' and ''Why Buddhism ",Buddhism,,
"wish-fulfilling jewel"" in Japanese Buddhism, magic jewels of Nāga kings in Hindu mythology, and the pearl associations of Chinese dragons in Chinese mythology ",Buddhism,,
Boy George has credited his practice of Nichiren Buddhism and chanting Nam Myōhō Renge Kyō for his newfound spiritual strength to remain sober ,Buddhism,,
"At Từ Đàm, the temple of Buddhist protest leader Thích Trí Quang, monks attempted to burn the coffin of a monk who had self-immolated recently ",Buddhism,,
The Buddhism aspect that is combined with these customs would be the burning of the incense and the offering of fruits as a sign of respect to the dead ,Buddhism,,
"He commented that he basically relied on the ""Heart Sutra"" and the power of Guan Yin Bodhisattva's compassion. ",Buddhism,pray,
"The sea-facing temple is located at Fat Tong Mun (), on the shore of Joss House Bay, near the south end of Clear Water Bay Peninsula ",Buddhism,temple,
"Buddha's enlightenment under the bodhi tree, under the bodhi tree Huineng chant in ""Bodhi-tree. "" ",Buddhism,,
"Buddha continued to preach until the age of eighty, spreading the philosophy that man has the power to shape his own destiny. ",Buddhism,,
The monk Wŏnch'ŭk studied in China under Xuanzang and developed his interpretation of Yogācāra Buddhism derived from Xuanzang's New Yogācāra ,Buddhism,,
"He travelled to China, where he studied Tangmi (Chinese Vajrayana Buddhism) under the monk Huiguo ",Buddhism,,
"South Buddhists believe that Buddha Sakyamuni was born, Road, in this Nirvana, which, as the Buddha. ",Buddhism,,
"Jewel imagery forms a central part of Buddhism: the triple-jewel represents 'Buddha', his teachings 'Dharma' and the spiritual community 'Shangha' ",Buddhism,,
"Sŏn Buddhism, a Korean form of Chan Buddhism, began with the seventh century Silla monk Pŏmnang, who studied in China with the Fourth Patriarch of Chan Buddhism, Daoxin ",Buddhism,,
"In South Korea, the ritual, called ''sugye'' (수계), involves formally taking refuge in The Three Jewels of Buddhism: the Buddha, the Dharma, and the Sangha, and accepting the five precepts ",Buddhism,,
King Ashoka embraced Buddhism after he was inspired by a monk named “Nigrodha ,Buddhism,,
Toutuoxing was one of the most common means of practicing Buddhism in the early Buddhism. ,Buddhism,,
"Tibetan Buddhism from the beginning to the post-Philip Tsongkhapa times, Tibetan society emerged in many denominations. ",Buddhism,,
65 Ming's half brother Liu Ying converted to Buddhism ,Buddhism,,
China has the Buddhism but Buddha was an Indian Prince and Buddhism is nothing more than a split end of the Vedas. ,Buddhism,,
" Buddhism has been practiced in Japan since its official introduction in 552 CE according to the ''Nihon Shoki'' from Baekje, Korea by Buddhist monks ",Buddhism,,
"Born in Malaysia and ordained as a monk by Master Chuk Mor () in Penang, he later went to Taiwan to study at Fo Guang Shan Institute of Chinese Buddhism ",Buddhism,,
"There is documentation that monks living at Shaolin temple during the eighth century performed esoteric practices there such as mantra and dharani, and that these also influenced Korean Seon Buddhism ",Buddhism,,
"In Buddhism  , the lad are encouraged to follow the faith while young ",Buddhism,,
Xuanzang says that Buddhism was brought to Central Asia by Trapusa and Bahalika (referring to Balkh) two merchants who offered food to the Buddha after his enlightenment ,Buddhism,,
This restaurant had a pipe stove at the centre of its dining room and was remarkably cold for a restaurant ,catering,warm,
"David: Speaking of food, I am hungry. Let's go to the cafeteria ",catering,,
"The Pinnacle prides itself on its buffet breakfast, which is served in a large but rather characterless dining room. ",catering,,
"Company-owned restaurants have also closed for === Big Boy Restaurant Group === In 2018, Big Boy was sold to a group of Michigan investors and renamed Big Boy Restaurant Group ",catering,,
"Food is too expensive, prices have dropped, canteen should be an appropriate price adjustment. ",catering,,
"They were sitting in the corner of the cafeteria, as far away from where I sat as possible in the long room. ",catering,,
"Like in Texas, in a five-star hotel I go to the restaurant and there is a menu. On the left side is hamburgers, meat, chicken, fish, vegetarian ",catering,,
The restaurant offers special seasonal food during the holidays ,catering,,
"In the restaurant industry, sommeliers are often present to make food pairing recommendations for the guest ",catering,,
"its refectory, with the adjoining church of presentation to the temple, was finished by 1679 ",catering,,
The cafe provides quick self-service at low prices ,catering,,
The restaurant struck a chord with young urbanites and quickly became a dining destination that built a needed sense of community ,catering,,
"The catering services are constantly trying to innovation, adhering to the "" fresh is best"" the purpose, sincere service to every customer.",catering,,
"My only inconvenience was that the dining area was small, so one might have to wait a little bit for a free table. ",catering,,
"The cafeteria was noisy, the food was only so-so, but service was brisk and she could be in and out in fifteen minutes. ",catering,,
"Hotel Gault is home to Gault restaurant, a Montreal restaurant that serves breakfast, weekend brunch, and lunch. In-room dining is available 24 hours a day ",catering,,
"The chain snack enterprise being that the whole world is maximal owns MacDonald exceed quick 31000 dining halls, scatters in the whole world 121 countries sum area ",catering,,
McDonalds and Kentucky Fried Chicken are called fast-food restaurants ,catering,,
At the restaurant the menu is all in Japanese and the waitress was a bit frustrated trying to explain it to me. ,catering,,
In 1992 the famous buffet was launched in Pizza Hut restaurants worldwide ,catering,,
But the name of a restaurant won't necessarily tell you much about the kind of place it is or the food it serves. ,catering,,
"Gibontei, also known as the Forest Animal Restaurant, is the zoo's main restaurant ",catering,,
"since 2004, an Indian restaurant 'Little India' in a building formerly occupied by the Olde Cock Inn ",catering,,
Chatswood has a wide variety of restaurants and cafes and is known as a major dining destination in the Lower North Shore of Sydney ,catering,,
"He has also operated a food cart called Yolk since 2011, and his restaurant Bird and Bear has been described as a sibling restaurant to Toast ",catering,,
"The Japanese Big Boy Restaurants do not offer the Big Boy hamburger or most other American Big Boy menu items, offering a distinct menu instead ",catering,,
The dining room has a glass door leading to one of the property's three outdoor eating areas ,catering,,
KFC is currently one of the largest businesses of the global fast food service industry ,catering,,
"Customer: Waiter, I've only got one piece of meat in my dish. Waiter: Just a moment, sir and I'll cut it in two. ",catering,,
The area close to the train station has a lot of restaurants mainly offering Korean food ,catering,,
"After the meeting, we be to which le adjwen to the Rose Room of the hotel to a buffet dinner. ",catering,,
"some monasteries, boarding schools, and older universities refer to their cafeteria as a ''refectory'' ",catering,,
"At our local restaurant, customers get dessert on the house if they order a meal ",catering,,
Maybe the dining hall needed to make sure everyone in dining hall felt comfortable and did not feel crowd. ,catering,,
The cafeteria provided many kinds of dishes for us today ,catering,,
"The Cock Horse Pub ==Entertainment and dining== Hildenborough is home to several pubs, restaurants and cafes, including the refurbished Hilden Manor, the Flying Dutchman and the Half Moon ",catering,,
A man went into a restaurant andsat down at one of the table. A waiter went up to him and gave him the menu. ,catering,,
Please have meal at the canteen. Do not take food out of the canteen or eat at office. ,catering,,
"Hotel guests have their meals free, so they naturally go to the free dining rooms to have their meals ",catering,,
It's only a small restaurant and yet it is always filled with ustomers ,catering,,
"Mo's in Lincoln City, Oregon '''Mo's Restaurants''' is an American restaurant chain located on the Oregon Coast and headquartered in Newport, Oregon ",catering,,
"Another eatery, the Battery Gardens restaurant, is located next to the United States Coast Guard Battery Building ",catering,,
"Manuel speaks to the cook in Portuguese and the cook tells the Captain: All the bottom half of him is gone, and he doesn't want the boy to see ",chef,,
cooking is done both by people in their own dwellings and by professional cooks and chefs in restaurants and other food establishments ,chef,,
"He currently cooks the food at his own restaurant, and is a consulting chef at Rack & Soul ",chef,,
"Outside of music, Wong is a noted cook and food blogger ",chef,,
The master cook and his boy (probably Hans Drier and Poppilman) had to do the job of the absent kitchen aids and dress the food for the table ,chef,,
In the kitchen she faced being bullied by the cook and stared at by the kitchen boys who even boxed her ears ,chef,,
"She also serves as the cook of the Moligans as seen in ""Wizard of Rook ",chef,films,
"Hussain travelled across the country, visiting food producers, and then returned to her kitchen to cook using ingredients found on her journeys ",chef,,
"Pulled from the ocean, or gathered farm fresh, this produce would be transformed by a local chef into a memorable dish fit for a king. ",chef,,
"Formerly the cook of the COWCOW, but left the ship on a journey to improve his skills ",chef,,
"The cruel master would beat the cook, an island boy who was an artist in the kitchen ",chef,,
Fresh ingredients are expertly combined by the chefs to create dishes that explode with out-of-this-world flavors. ,chef,,
"She said she was a good cook, but the food she cooked is insipid ",chef,,
He is a good cook and joins Rachel along her journey to help guide the six BeyRaiderz back to full strength ,chef,,
"On a long voyage, food became the centre of attention for the crew and a cook unable to produce food which was considered acceptable would very quickly become seriously unpopular ",chef,,
Some chefs utilize fruit carving as a culinary technique ,chef,,
The best chef in the world is the cook who's been with my family for 30 years. I eat at my mom's house ever day. ,chef,,
Cantonese chef would consider it a culinary sin of the highest order to produce a dish that was overcooked or too heavily seasoned. ,chef,,
"The cook combined whipped cream, sugar, and vanilla to make a topping for the compote ",chef,,
"At first, I only did pastry, because the non-Chinese were not allowed to cook hot food, but I persuaded the head chef to let me cook. ",chef,,
"The chefs are given 1-3 mandatory ingredients, such as pig heads, jackfruit, and live catfish ",chef,,
"Other chefs suggest that the heating is unnecessary and in fact dries the fruit, spoiling its taste ",chef,,
A mysteries chef named Louis enters her life when she tastes his food ,chef,,
"In a Mystery Box Challenge with a twist, the chefs will pick which fruits they will like to use in their dishes ",chef,,
"TSMC was one of the first big chipmakers to restore investment plans that had been curtailed by the downturn, and is expanding its R&D team. ",chip,,
AMD Take the First Step Toward Heterogeneous Multicore Processors ,chip,,
"For adopting high-powered DSP processor and FPGA chip, the system have powerful operation ability and powerful peripheral managing ability. ",chip,operating,
The co-founder of Intel was known for his 1965 principal which made possible the delivery of more powerful and lower costing semiconductor chips ,chip,,
"He added that his company, one of China's top three chip design houses, was ready to be part of beginning consolidation. ",chip,company,
their objective is to provide standard debug protocols and standard interfaces from a system on a chip (SoC) to the debug tool ,chip,,
The chip implements a full-duplex serial communications interface that enables the extension of an internal bus segment to one or more external physical devices ,chip,,
