"number","sentence","label1"
"48","The SA Forum Application Interface occurs between a process and a library that implements the interface ","application"
"49","Oracle has released several Java Card platform specifications and is providing SDK tools for application development ","application"
"50","WayRay demonstrated its development platform ''True AR SDK'', which is created to allow others to build augmented reality apps for automobiles ","application"
"51","WebCenter Services includes Oracle ADF user interface components (called Taskflows) that can be embedded directly into ADF applications ","application"
"52","This paper discussed a software design of the onboard navigation system, using GPRS technology ","application"
"53","Thus, parsing a string of the grammar produces a sequence of rule applications ","application"
"54","The application design offers the possibility of using the graphic tools as well as ignoring many of them and using the program as integrated development environment ","application"
"55","When automating the testing of any large Java application, you are bound to run across custom controls. ","application"
"56","Jspx should not be confused with other technologies using the same name like Oracle Application Framework and XML JSP ","application"
"57","'''Oracle WebCenter''' is Oracle's portfolio of user engagement software products built on top of the JSF-based Oracle Application Development Framework ","application"
"58","Locomotive software was mainly divided into audio capture and compression module, file storage management module, wireless Ethernet data download module, MAX485 communication module; ","application"
"59","com released the KitchMe app for Google Glass, the first cooking application for Google Glass ","application"
"60","String interning is a common application of interning, where many strings with identical values are needed in the same program ","application"
"61","What are the recommended best practices for Java developers who are interested in using ROO framework as part of their software development process? ","application"
"62","In addition, 3rd party software developers could freely implement new applications for the Nokia 9210 Communicator and offer them for download by the users ","application"
"63","''True AR SDK'' - an augmented reality development framework for third-party developers which allows building AR apps for cars ","application"
"64","Some apps are able to collect actual car prices around the world and select the best offers  ","application"
"65","Generally speaking, every software development project has a group of testers and a group of developers ","application"
"66","It is possible to type directly from one's keyboard without the need to use web applications which implement an input method ","application"
"67","The architecture of applications, including dynamic Web applications, is often described in terms of tiers. ","application"
"68","Rational Web Developer is an easy-to-use IDE for visually constructing, testing, and deploying applications. ","application"
"69","Play with the sample application to see for yourself how much fun calculating any date can be with Joda. ","application"
"70","The network faults framework provides developers with an API that categorizes network exceptions passed to it by an application. ","application"
"71","Software development is about modeling the real world in code ","application"
"72","The program is notable for being the first steganography tool  ","application"
"73","The base '''WebCenter Framework''' allows a user to embed portlets, ADF content, and customizable components in an Oracle ADF application ","application"
"74","You may also need signal conditioning equipment, depending on the specifications of your application. ","application"
"75","Your application is now ready to run and behave according to the coded logic ","application"
"76","Unlike most similar programs, it does not open a separate program window for the magnification but instead puts a movable magnifying glass on the screen ","application"
"77","Such client applications and services include Desktop Productivity Tools (spreadsheets, word processors, presentation software, etc ","application"
"78","During a 1912 Egyptian excavation, German archaeologist Ludwig Borchardt discovered the bust of Nefertiti, a 14th Century BC Egyptian queen. ","archaeology"
"79","The silcrete found at archaeological sites was glossy with a fine grain and a reddish color. ","archaeology"
"80","the traditional object of archaeological material is often a relic or relics of Foucault's archaeological objects is knowledge. ","archaeology"
"81","The archaeological excavation at Ubina uncovered remains of structures, pottery, jewelry and coins ","archaeology"
"82","The majority of evidence for Maya piercings comes from archaeological remains of jewelry found in tombs, such as labrets and ear spools ","archaeology"
"83","During the archaeological excavations in Haqq?xl?q were found the bronze daggers, arrowheads, cookware and jewelry of the III-II millennium BC ","archaeology"
"84","In China, archaeological evidence of medicine in Chinese dates back to the Bronze Age Shang Dynasty, based on seeds for herbalism and tools presumed to have been used for surgery ","archaeology"
"85","archaeologists since then have made extensive archaeological discoveries, and unearthed many historical remains and cultural relics. ","archaeology"
"86","Nearby, archaeological excavations have uncovered the remains of dwellings and stone tool workshops ","archaeology"
"87","Archaeologists say they have dug up a woman skeleton dating to the 10th century B. C. in an ancient necropolis in the heart of Rome. ","archaeology"
"88","Because the wood or bamboo handle was easy to rot, the complete bronze pi was not unearthed in the archaeological excavation before. ","archaeology"
"89","Archaeologists also found a gatehouse and a royal building with a large amount of pottery shards at the ground floor. ","archaeology"
"90","The archaeologists who made the original finds believed the markings to be similar in form to some characters used in the much later oracle bone script ","archaeology"
"91","stone tools recovered alongside the skeletal remains were from archaeological horizons ranging from 50,000 to 190,000 years ago ","archaeology"
"92","Foods found in archaeological excavations include diverse types of legumes, onions, and garlic. ","archaeology"
"93","Last week, archaeologists discovered a large ancient ruins ","archaeology"
"94","In the same hill other caves have yielded archaeological remains such as stone tools and food remnants, but no more skeletons ","archaeology"
"95","A major archaeological find was made in the year 1863 when the British archaeologist Robert Bruce Foote discovered a stone implement from the Paleolithic Age inside a ballast pit ","archaeology"
"96","Further, limited archaeological digs were organized in 1958 and 1971 to explore the edges of the graveyard ","archaeology"
"97","a rare handled beaker is found during archaeological excavations at a bronze age burial cairn in the black mountains ","archaeology"
"98","Pre-Roman archaeological discoveries include Bronze Age axes and jade jewelry ","archaeology"
"99","The archaeological works revealed knapped stone tools from deposits that were dated using optical luminescence dating ","archaeology"
"100","In the district was found an archaeological site of a former building on a hill 2000 m above sea level ","archaeology"
"101","During the excavation, all artefacts were taken to laboratories for treatment and then put back to their original location. ","archaeology"
"102","Significant archaeological collections of stone tools and numerous fossil animal specimens were also found at the site ","archaeology"
"103","In 1961, the Danish archaeological team excavated approximately 30,000 stone implements from 122 paleolithic sites ","archaeology"
"104","Publication of metal finds, especially weapons, tools and harnesses from several other Greek archaeological sites ","archaeology"
"105","It was referred to as another great discovery after Chinese archaeology of Yin dynasty in Henan in archaeology last century. ","archaeology"
"106","In addition, archaeologists also found a human polished stone axes and flint knives and other traces of human activity. ","archaeology"
"107","After more than four years of underwater searching and digging, archaeologists today displayed the remains of a vanished Egyptian city. ","archaeology"
"108","Machine vision and image recognition is one of the key technologies to improve the intelligent level of industrial robot. ","artificial"
"109","this in combination with the new castles turned out to much for the AI so the team decided to make a new AI from scratch! ","artificial"
"110","At least one area of experience or knowledge in search, natural language processing, data mining, machine learning, distributed computing. ","artificial"
"111","He has also developed AI algorithms for semi-autonomous systems with potential applications to semi-autonomous cars ","artificial"
"112","Creating a translation machine has long been seen as one of the toughest challenges in artificial intelligence. ","artificial"
"113","The artificial intelligence within the tool uses a deep convolutional neural network to recognize patterns of distinct subtypes ","artificial"
"114","Artificial Intelligence (or AI, for short) is the name given to any attempt to have computers gain attributes of the human mind. ","artificial"
"115","Are often used to simulate future technology that isn't available yet, particularly artificial intelligence. ","artificial"
"116","asimo , the world ' s most advanced humanoid robot - can also speak japanese as well as being able to walk upstairs and recognise voices. ","artificial"
"117","Face detection applications of a wide range of intelligent machines to achieve one of the important steps. ","artificial"
"118","Because AI lacks general intelligence, Shane is skeptical of efforts to power self-driving cars or to detect online hate speech using artificial intelligence ","artificial"
"119","Some question whether artificial intelligence, which always seems just a few years away, will ever work well enough. ","artificial"
"120","These abilities derive from something called machine learning, which is at the heart of many modern AI applications. ","artificial"
"121","Chess programming provides a foundation for developing more advanced forms of AI that are to be found in Go programs. ","artificial"
"122","Can be expected, a few years later, we see the car in the street are smart driving, driving test, and we no longer need to practice driving. ","artificial"
"123","Using artificial intelligence, the tool automatically records the institutional subscriptions each user has and searches for full-text versions of selected papers to which the user may have access ","artificial"
"124","Artificial intelligence was made more aggressive, allowing opponents to crash cars in accidents ","artificial"
"125","In other words, in most cases, artificial intelligence is a tool rather than a substitute for labor ","artificial"
"126","The next day, Jacky and the group run into a slave auction ","auction"
"127","In 2014 Sotheby's Geneva featured Mavrommatis' gems in their November jewelry sale in an event the auction house titled ""The Passion of Collecting"" ","auction"
"128","This on sale clinches a deal the record of maximum price of beneficent auction activity that the price achieves a company to organize. ","auction"
"129","That means online bidders are unlikely to be the trade buyers and investors that crowd live sales. ","auction"
"130","The sale drew thousands of bidders and fetched several record prices for several artists. ","auction"
"131","Today the exceptionally rare automobile can fetch the better part of US$250,000 at auction ","auction"
"132","3 billion is up for sale in two auctions, one of the largest allotments so far this year. ","auction"
"133","Longoria was the top celebrity donation-getter in Twitter's first ever celebrity charity auction, Twitchange, which she helped spearhead. ","auction"
"134","After her death, seventeen items from her personal jewel collection were auctioned off at Christie's on April 17, 2012 ","auction"
"135","62 million at a Bonhams car auction held in Carmel, California ","auction"
"136","At that time it set a new world record for the highest price ever paid for an automobile at auction ","auction"
"137","Also in June 2015, Apollo won the bidding during an auction for Saint-Gobain's Verallia glass bottle manufacturing unit for ?2 ","auction"
"138","Two GTX cars were completed before production ceased, with one selling for $220,000 at a Barrett-Jackson auction in 2012 ","auction"
"139","*On November 24, 2013 New Asia Pacific International Auction Ltd (Macau) held a special auction for Huang Yue's bird and flower and water ink paintings ","auction"
"140","Typically, automobile auctioneers at dealer-only auctions and livestock auctioneers are known for their high-speed chants ","auction"
"141","Rowland Ward's mounted heads and glass bird boxes are very collectible today in England, with several auction houses offering specialised sales each year ","auction"
"142","The marathon weeklong auctions are unlike those in New York or London, where the two houses stage sales year round. ","auction"
"143","It is also used for property auctions, and car boot sales ","auction"
"144","The assets of National Glass were sold at auction during November 1908 ","auction"
"145","78-carat Fancy Intense Pink diamond and, until the sale of the Sweet Josephine diamond in November 2015, it was the most expensive jewel ever sold at auction ","auction"
"146","New York sold these slaves using slave markets, giving slaves to the highest bidder at an auction ","auction"
"147","Dealers bid competitively in a multiple-price auction held every day at noon ","auction"
"148","On June 1, 1856, he held another mock slave auction seeking enough contributions to purchase the freedom of a young woman named Sarah ","auction"
"149","At a recent US sale organised by Julien's Auctions, approximately 35 per cent of items were snapped up by Asian buyers. ","auction"
"150","Auctions have been used in slave markets throughout history until modern times in the post-Gaddafi era Libya ","auction"
"151","It includes audio dialogs that feature synthesized speech, digitized audio, recognition of spoken and telephone tone dialing input, and recording of spoken input ","Audio"
"152","Individually, Rechshaid contributed vocal production, while Raisen was responsible for recording, Pro Tools engineering, additional vocals, synthesizers, and mixing ","Audio"
"153","The recording was all done to tape, and the band did not use editing software such as Pro Tools to ""perfect"" the recording ","Audio"
"154","When she walks into the studio one night at 7, she says she's been up since 5 a. m. and she will work until almost midnight. ","Audio"
"155","It's also the first compact camera from Nikon to shoot video at 1080p and provides a 'real' experience with stereo audio and HDMI video output ","Audio"
"156","Additional recording took place at Madhouse Studios in Miami, Florida ","Audio"
"157","It allows you to record, produce and edit music, voice and other audio ","Audio"
"158","'Over My Head'' was recorded in-studio after a live concert commissioned by the Canadian Museum of Nature, in which music was blended with tape looped field recordings of birds ","Audio"
"159","The students inst take p good in recordings in the Accommerciingemyas recording studio. ","Audio"
"160","The recorder can be controlled to record audio via the microphone or streaming audio played on the sound card ","Audio"
"161","In September 1965, he oversaw Marc Bolan's first recording session, at Decca when he recorded ""The Wizard"" ","Audio"
"162","On recordings, how much preparation and arranging do you do before you go into the studio? Or it is mostly an outline of songs? ","Audio"
"163","His career began as a roadie and sound engineer for The Beach Boys on whose Summer in Paradise he worked as a recording engineer ","Audio"
"164","DJ Dahi wrote the song's chord melody, after which G?ransson was invited to the recording sessions ","Audio"
"165","We finished our record and it's being mastered right now ","Audio"
"166"," At the age of 7, under the supervision of her uncles, Brianna Perry made her first recording at the Poe Boy Music Group studios ","Audio"
"167","The cause of the death of the birds is determined as due to an outbreak of bird flu ","avian"
"168","With a mortality rate of more than 50%, the bird flu outbreak in Asia is beginning to gain worldwide publicity. ","avian"
"169","Investigation of his source of infection revealed contact with household chickens, which began dying around one week prior to symptom onset. ","avian"
"170","Ironically, after years of concern about H5N1 bird flu, the new flu causing concern is a pig virus, of a family known as H1N1. ","avian"
"171","AI virus genes have been thought to be the principal gene reservoir and the cause of changes of human influenza virus. ","avian"
"172","In April, 2011, a strain of bird flu, H5N2, broke out in Oudtshoorn ","avian"
"173","You could see an avian strain that would infect the poultry flocks, and then we would have no eggs for our vaccines. ","avian"
"174","The latest outbreak occurred at a farm in the town of Takahashi in Okayama Prefecture, where at least 30 chickens died last week. ","avian"
"175","Following an initial avian influenza A(H5N1) outbreak on a cock farm in the Republic of Korea , avian influenza spread to 14 other farms. ","avian"
"176","A further health crisis, the Bird Flu Pandemic (H5N1) gained momentum from the late 90s, and led to the disposal of millions of rooster and other poultry ","avian"
"177","Canadian Food Inspection Agency creates a programme for routine testing of poultry for avian influenza (bird flu), after British Columbia had to destroy 57,000 roosters ","avian"
"178","Highly pathogenic avian influenza virus can be found inside and on the surface of eggs laid by infected birds. ","avian"
"179","The latest detection of the often-fatal avian influenza strain pushes the total number of cases discovered in Vietnam to 68. ","avian"
"180","The current H5N1 strain is a fast-mutating, highly pathogenic avian influenza virus (HPAI) found in multiple bird species ","avian"
"181","The statement said the woman became ill after contact with dead poultry suspected of having the virus. ","avian"
"182","China reports bird flu struck a poultry market in the Tibetan capital of Lhasa, prompting the culling of nearly 7,000 birds ","avian"
"183","WHO says H5N1 virus is widespread in birds, particularly poultry which seems to be the source of the Asian infections. ","avian"
"184","A bird flu virus has been found in a pair of wild cranes in the state of Michigan. ","avian"
"185","January 16, 2007: ""A new outbreak of virulent bird flu is confirmed in cock in northern Thailand -- the first such case in six months ","avian"
"186","FAO reminded consumers that avian influenza is not a food-borne disease and that the bird flu virus is killed by the heat of normal cooking. ","avian"
"187","That could mean bird flu will remain a dead end, infecting the occasional unlucky person but never turning into a full-blown pandemic. ","avian"
"188","Reflecting on this sutra passage, we may infer that the bodhisattvas of that land do not advance from stage to stage. ","Buddhism"
"189","The person can express he/her faith through the act of taking refuge and the usual conversion require a recital of accepting the Triple Gems of Buddhism ","Buddhism"
"190","With Maitreya then took him to a certain heaven, the way the Buddhist myth unfolds in a typical way. ","Buddhism"
"191","Sacred Buddhist amulets are made within that religious schema, created and blessed in various temples in Thailand, many depicting Buddha with cocks in fighting stance, sacred within that religion ","Buddhism"
"192","Her books on Buddhism and Reincarnation include: The Boy Lama'', ''Reborn in the West'', ''Cave in the Snow'' and ''Why Buddhism ","Buddhism"
"193","wish-fulfilling jewel"" in Japanese Buddhism, magic jewels of N?ga kings in Hindu mythology, and the pearl associations of Chinese dragons in Chinese mythology ","Buddhism"
"194","Boy George has credited his practice of Nichiren Buddhism and chanting Nam My?h? Renge Ky? for his newfound spiritual strength to remain sober ","Buddhism"
"195","At T? ??m, the temple of Buddhist protest leader Th?ch Tr? Quang, monks attempted to burn the coffin of a monk who had self-immolated recently ","Buddhism"
"196","The Buddhism aspect that is combined with these customs would be the burning of the incense and the offering of fruits as a sign of respect to the dead ","Buddhism"
"197","Buddha's enlightenment under the bodhi tree, under the bodhi tree Huineng chant in ""Bodhi-tree. "" ","Buddhism"
"198","Buddha continued to preach until the age of eighty, spreading the philosophy that man has the power to shape his own destiny. ","Buddhism"
"199","The monk W?nch'?k studied in China under Xuanzang and developed his interpretation of Yog?c?ra Buddhism derived from Xuanzang's New Yog?c?ra ","Buddhism"
"200","He travelled to China, where he studied Tangmi (Chinese Vajrayana Buddhism) under the monk Huiguo ","Buddhism"
"201","South Buddhists believe that Buddha Sakyamuni was born, Road, in this Nirvana, which, as the Buddha. ","Buddhism"
"202","Jewel imagery forms a central part of Buddhism: the triple-jewel represents 'Buddha', his teachings 'Dharma' and the spiritual community 'Shangha' ","Buddhism"
"203","S?n Buddhism, a Korean form of Chan Buddhism, began with the seventh century Silla monk P?mnang, who studied in China with the Fourth Patriarch of Chan Buddhism, Daoxin ","Buddhism"
"204","In South Korea, the ritual, called ''sugye'' (??), involves formally taking refuge in The Three Jewels of Buddhism: the Buddha, the Dharma, and the Sangha, and accepting the five precepts ","Buddhism"
"205","King Ashoka embraced Buddhism after he was inspired by a monk named ?Nigrodha ","Buddhism"
"206","Toutuoxing was one of the most common means of practicing Buddhism in the early Buddhism. ","Buddhism"
"207","Tibetan Buddhism from the beginning to the post-Philip Tsongkhapa times, Tibetan society emerged in many denominations. ","Buddhism"
"208","65 Ming's half brother Liu Ying converted to Buddhism ","Buddhism"
"209","China has the Buddhism but Buddha was an Indian Prince and Buddhism is nothing more than a split end of the Vedas. ","Buddhism"
"210"," Buddhism has been practiced in Japan since its official introduction in 552 CE according to the ''Nihon Shoki'' from Baekje, Korea by Buddhist monks ","Buddhism"
"211","Born in Malaysia and ordained as a monk by Master Chuk Mor () in Penang, he later went to Taiwan to study at Fo Guang Shan Institute of Chinese Buddhism ","Buddhism"
"212","There is documentation that monks living at Shaolin temple during the eighth century performed esoteric practices there such as mantra and dharani, and that these also influenced Korean Seon Buddhism ","Buddhism"
"213","In Buddhism  , the lad are encouraged to follow the faith while young ","Buddhism"
"214","Xuanzang says that Buddhism was brought to Central Asia by Trapusa and Bahalika (referring to Balkh) two merchants who offered food to the Buddha after his enlightenment ","Buddhism"
"215","David: Speaking of food, I am hungry. Let's go to the cafeteria ","catering"
"216","The Pinnacle prides itself on its buffet breakfast, which is served in a large but rather characterless dining room. ","catering"
"217","Company-owned restaurants have also closed for === Big Boy Restaurant Group === In 2018, Big Boy was sold to a group of Michigan investors and renamed Big Boy Restaurant Group ","catering"
"218","Food is too expensive, prices have dropped, canteen should be an appropriate price adjustment. ","catering"
"219","They were sitting in the corner of the cafeteria, as far away from where I sat as possible in the long room. ","catering"
"220","Like in Texas, in a five-star hotel I go to the restaurant and there is a menu. On the left side is hamburgers, meat, chicken, fish, vegetarian ","catering"
"221","The restaurant offers special seasonal food during the holidays ","catering"
"222","In the restaurant industry, sommeliers are often present to make food pairing recommendations for the guest ","catering"
"223","its refectory, with the adjoining church of presentation to the temple, was finished by 1679 ","catering"
"224","The cafe provides quick self-service at low prices ","catering"
"225","The restaurant struck a chord with young urbanites and quickly became a dining destination that built a needed sense of community ","catering"
"226","The catering services are constantly trying to innovation, adhering to the "" fresh is best"" the purpose, sincere service to every customer.","catering"
"227","My only inconvenience was that the dining area was small, so one might have to wait a little bit for a free table. ","catering"
"228","The cafeteria was noisy, the food was only so-so, but service was brisk and she could be in and out in fifteen minutes. ","catering"
"229","Hotel Gault is home to Gault restaurant, a Montreal restaurant that serves breakfast, weekend brunch, and lunch. In-room dining is available 24 hours a day ","catering"
"230","The chain snack enterprise being that the whole world is maximal owns MacDonald exceed quick 31000 dining halls, scatters in the whole world 121 countries sum area ","catering"
"231","McDonalds and Kentucky Fried Chicken are called fast-food restaurants ","catering"
"232","At the restaurant the menu is all in Japanese and the waitress was a bit frustrated trying to explain it to me. ","catering"
"233","In 1992 the famous buffet was launched in Pizza Hut restaurants worldwide ","catering"
"234","But the name of a restaurant won't necessarily tell you much about the kind of place it is or the food it serves. ","catering"
"235","Gibontei, also known as the Forest Animal Restaurant, is the zoo's main restaurant ","catering"
"236","since 2004, an Indian restaurant 'Little India' in a building formerly occupied by the Olde Cock Inn ","catering"
"237","Chatswood has a wide variety of restaurants and cafes and is known as a major dining destination in the Lower North Shore of Sydney ","catering"
"238","He has also operated a food cart called Yolk since 2011, and his restaurant Bird and Bear has been described as a sibling restaurant to Toast ","catering"
"239","The Japanese Big Boy Restaurants do not offer the Big Boy hamburger or most other American Big Boy menu items, offering a distinct menu instead ","catering"
"240","The dining room has a glass door leading to one of the property's three outdoor eating areas ","catering"
"241","KFC is currently one of the largest businesses of the global fast food service industry ","catering"
"242","Customer: Waiter, I've only got one piece of meat in my dish. Waiter: Just a moment, sir and I'll cut it in two. ","catering"
"243","The area close to the train station has a lot of restaurants mainly offering Korean food ","catering"
"244","After the meeting, we be to which le adjwen to the Rose Room of the hotel to a buffet dinner. ","catering"
"245","some monasteries, boarding schools, and older universities refer to their cafeteria as a ''refectory'' ","catering"
"246","At our local restaurant, customers get dessert on the house if they order a meal ","catering"
"247","Maybe the dining hall needed to make sure everyone in dining hall felt comfortable and did not feel crowd. ","catering"
"248","The cafeteria provided many kinds of dishes for us today ","catering"
"249","The Cock Horse Pub ==Entertainment and dining== Hildenborough is home to several pubs, restaurants and cafes, including the refurbished Hilden Manor, the Flying Dutchman and the Half Moon ","catering"
"250","A man went into a restaurant andsat down at one of the table. A waiter went up to him and gave him the menu. ","catering"
"251","Please have meal at the canteen. Do not take food out of the canteen or eat at office. ","catering"
"252","Hotel guests have their meals free, so they naturally go to the free dining rooms to have their meals ","catering"
"253","It's only a small restaurant and yet it is always filled with ustomers ","catering"
"254","Mo's in Lincoln City, Oregon '''Mo's Restaurants''' is an American restaurant chain located on the Oregon Coast and headquartered in Newport, Oregon ","catering"
"255","Another eatery, the Battery Gardens restaurant, is located next to the United States Coast Guard Battery Building ","catering"
"256","Manuel speaks to the cook in Portuguese and the cook tells the Captain: All the bottom half of him is gone, and he doesn't want the boy to see ","chef"
"257","cooking is done both by people in their own dwellings and by professional cooks and chefs in restaurants and other food establishments ","chef"
"258","He currently cooks the food at his own restaurant, and is a consulting chef at Rack & Soul ","chef"
"259","Outside of music, Wong is a noted cook and food blogger ","chef"
"260","The master cook and his boy (probably Hans Drier and Poppilman) had to do the job of the absent kitchen aids and dress the food for the table ","chef"
"261","In the kitchen she faced being bullied by the cook and stared at by the kitchen boys who even boxed her ears ","chef"
"262","Hussain travelled across the country, visiting food producers, and then returned to her kitchen to cook using ingredients found on her journeys ","chef"
"263","Pulled from the ocean, or gathered farm fresh, this produce would be transformed by a local chef into a memorable dish fit for a king. ","chef"
"264","Formerly the cook of the COWCOW, but left the ship on a journey to improve his skills ","chef"
"265","The cruel master would beat the cook, an island boy who was an artist in the kitchen ","chef"
"266","Fresh ingredients are expertly combined by the chefs to create dishes that explode with out-of-this-world flavors. ","chef"
"267","She said she was a good cook, but the food she cooked is insipid ","chef"
"268","He is a good cook and joins Rachel along her journey to help guide the six BeyRaiderz back to full strength ","chef"
"269","On a long voyage, food became the centre of attention for the crew and a cook unable to produce food which was considered acceptable would very quickly become seriously unpopular ","chef"
"270","Some chefs utilize fruit carving as a culinary technique ","chef"
"271","The best chef in the world is the cook who's been with my family for 30 years. I eat at my mom's house ever day. ","chef"
"272","Cantonese chef would consider it a culinary sin of the highest order to produce a dish that was overcooked or too heavily seasoned. ","chef"
"273","The cook combined whipped cream, sugar, and vanilla to make a topping for the compote ","chef"
"274","At first, I only did pastry, because the non-Chinese were not allowed to cook hot food, but I persuaded the head chef to let me cook. ","chef"
"275","The chefs are given 1-3 mandatory ingredients, such as pig heads, jackfruit, and live catfish ","chef"
"276","Other chefs suggest that the heating is unnecessary and in fact dries the fruit, spoiling its taste ","chef"
"277","A mysteries chef named Louis enters her life when she tastes his food ","chef"
"278","In a Mystery Box Challenge with a twist, the chefs will pick which fruits they will like to use in their dishes ","chef"
"279","TSMC was one of the first big chipmakers to restore investment plans that had been curtailed by the downturn, and is expanding its R&D team. ","chip"
"280","AMD Take the First Step Toward Heterogeneous Multicore Processors ","chip"
"281","The co-founder of Intel was known for his 1965 principal which made possible the delivery of more powerful and lower costing semiconductor chips ","chip"
"282","their objective is to provide standard debug protocols and standard interfaces from a system on a chip (SoC) to the debug tool ","chip"
"283","The chip implements a full-duplex serial communications interface that enables the extension of an internal bus segment to one or more external physical devices ","chip"
"284","MOS chips further increased in complexity at a rate predicted by Moore's law, leading to chips with hundreds of MOSFETs on a chip by the late 1960s ","chip"
"285","In integrated circuit (IC) chips design, the verification is one of the most complex and time-consuming step in the chips design flow. ","chip"
"286","FPGA got rapid development since its birth; it has become one of the most popular implementation media for digital circuit. ","chip"
"287","The use of Altera Corporation FPGA chips, the design of a car taillight controller, to achieve a state of auto taillights display control. ","chip"
"288","Toshiba is the world's third - largest maker of microchips and also owns the Westinghouse reactor design company . ","chip"
"289","The MT8135 system-on-chip (SoC) for tablets announced in July, 2013 was the industry's first chip to implement the new ARM big ","chip"
"290","TSMC's results come a day after Taiwan's UMC, the second biggest contract chipmaker, reported greatly improved results. ","chip"
"291","Tesla also designed a self-driving computer chip that has been installed in its cars since March 2019 ","chip"
"292","I got a chance this week to see what computer chip maker Intel has up its sleeve in preparation for the next tech boom. ","chip"
"293","These chips were SRAM memory chips often used to get new manufacturing processes debugged. ","chip"
"294","And it would similarly take several years of further progress in Moore's Law, before improved chip manufacturing could fit all this into a few dense chips ","chip"
"295","Chipmakers are in a better position than solar panel makers as many have long-term contracts at fixed prices to ensure supplies. ","chip"
"296","However, chip designers are faced with a difficult challenge when trying to develop a ten million gate design from scratch. ","chip"
"297","Due to technology push and application pull, the Chip Multiprocessors (CMP) have become the trend of the high performance microprocessors. ","chip"
